"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"itgb7";"6";"CH211-233B16.4";"integrin, beta 7 [Source:ZFIN;Acc:ZDB-GENE-100728-2]";"39703232";"39727244";"-1";"protein_coding";"ENSDARG00000044318"
"pfkmb";"6";"pfkmb";"phosphofructokinase, muscle b [Source:ZFIN;Acc:ZDB-GENE-081114-1]";"39737408";"39765546";"-1";"protein_coding";"ENSDARG00000060797"
"c1ql4b";"6";"DKEY-74L3.6";"complement component 1, q subcomponent-like 4b [Source:ZFIN;Acc:ZDB-GENE-131127-59]";"39812475";"39831089";"1";"protein_coding";"ENSDARG00000055317"
"smarcc2";"6";"DKEY-74L3.7";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 [Source:ZFIN;Acc:ZDB-GENE-100728-1]";"39836474";"39866670";"1";"protein_coding";"ENSDARG00000077946"
"myl6";"6";"myl6";"myosin, light chain 6, alkali, smooth muscle and non-muscle [Source:ZFIN;Acc:ZDB-GENE-041010-28]";"39874177";"39893526";"-1";"protein_coding";"ENSDARG00000008494"
"tsfm";"6";"DKEY-74L3.4";"Ts translation elongation factor, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-061215-17]";"39897543";"39903431";"-1";"protein_coding";"ENSDARG00000060748"
"endou";"6";"DKEY-74L3.2";"endonuclease, polyU-specific [Source:ZFIN;Acc:ZDB-GENE-070112-2012]";"39905021";"39912440";"1";"protein_coding";"ENSDARG00000044204"
"sumf1";"6";"sumf1";"sulfatase modifying factor 1 [Source:ZFIN;Acc:ZDB-GENE-060421-3113]";"39913853";"39920105";"-1";"protein_coding";"ENSDARG00000044203"
"itpr1a";"6";"itpr1a";"inositol 1,4,5-trisphosphate receptor, type 1a [Source:ZFIN;Acc:ZDB-GENE-070604-3]";"39923052";"39991554";"1";"protein_coding";"ENSDARG00000014655"
"pfkfb4b";"6";"pfkfb4l";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b [Source:ZFIN;Acc:ZDB-GENE-031031-4]";"39993605";"40029423";"-1";"protein_coding";"ENSDARG00000029075"
"si:dkey-197j19.6";"6";"DKEY-197J19.6";"si:dkey-197j19.6 [Source:ZFIN;Acc:ZDB-GENE-131127-414]";"40031007";"40038543";"-1";"protein_coding";"ENSDARG00000090628"
"si:dkey-197j19.5";"6";"DKEY-197J19.5";"si:dkey-197j19.5 [Source:ZFIN;Acc:ZDB-GENE-131121-633]";"40039534";"40044111";"-1";"protein_coding";"ENSDARG00000096949"
"uroc1";"6";"DKEY-197J19.1";"urocanate hydratase 1 [Source:ZFIN;Acc:ZDB-GENE-081022-148]";"40045035";"40058686";"-1";"protein_coding";"ENSDARG00000070394"
"chchd4b";"6";"DKEY-197J19.3";"coiled-coil-helix-coiled-coil-helix domain containing 4b [Source:ZFIN;Acc:ZDB-GENE-041010-149]";"40060409";"40063464";"-1";"protein_coding";"ENSDARG00000040707"
"sec61a1";"6";"sec61al1";"SEC61 translocon alpha 1 subunit [Source:ZFIN;Acc:ZDB-GENE-020418-2]";"40065201";"40071899";"-1";"protein_coding";"ENSDARG00000021669"
"ip6k2b";"6";"DKEY-197J19.2";"inositol hexakisphosphate kinase 2b [Source:ZFIN;Acc:ZDB-GENE-040718-85]";"40089743";"40162742";"-1";"protein_coding";"ENSDARG00000019613"
"col7a1";"6";"DKEY-28N18.6";"collagen, type VII, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2427]";"40184235";"40312091";"-1";"protein_coding";"ENSDARG00000021720"
"ttll3";"6";"ttll3";"tubulin tyrosine ligase-like family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060616-182]";"40329308";"40352215";"-1";"protein_coding";"ENSDARG00000053728"
"slc4a8";"6";"DKEY-28N18.8";"solute carrier family 4 member 8 [Source:ZFIN;Acc:ZDB-GENE-131119-88]";"40354424";"40405934";"1";"protein_coding";"ENSDARG00000015531"
"si:dkey-28n18.9";"6";"DKEY-28N18.9";"si:dkey-28n18.9 [Source:ZFIN;Acc:ZDB-GENE-131127-205]";"40422224";"40429414";"-1";"protein_coding";"ENSDARG00000097193"
"ccdc174";"6";"DKEY-28N18.3";"coiled-coil domain containing 174 [Source:ZFIN;Acc:ZDB-GENE-050320-54]";"40429773";"40435025";"-1";"protein_coding";"ENSDARG00000023858"
"ghrl";"6";"ghrl";"ghrelin/obestatin prepropeptide [Source:ZFIN;Acc:ZDB-GENE-070622-2]";"40437987";"40439615";"1";"protein_coding";"ENSDARG00000054239"
"tatdn2";"6";"tatdn2";"TatD DNase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081022-51]";"40439858";"40449399";"-1";"protein_coding";"ENSDARG00000070618"
"vhl";"6";"vhl";"von Hippel-Lindau tumor suppressor [Source:ZFIN;Acc:ZDB-GENE-070112-1042]";"40451270";"40455109";"-1";"protein_coding";"ENSDARG00000070617"
"crbn";"6";"DKEY-28N18.2";"cereblon [Source:ZFIN;Acc:ZDB-GENE-040822-43]";"40456798";"40466861";"-1";"protein_coding";"ENSDARG00000054250"
"zgc:152986";"6";"DKEY-28N18.11";"zgc:152986 [Source:ZFIN;Acc:ZDB-GENE-061013-762]";"40467562";"40470521";"1";"protein_coding";"ENSDARG00000070611"
"fgd5b";"6";"CH73-15B2.1";"FYVE, RhoGEF and PH domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-130925-3]";"40482330";"40499799";"1";"protein_coding";"ENSDARG00000089622"
"prkcda";"6";"prkcd";"protein kinase C, delta a [Source:ZFIN;Acc:ZDB-GENE-030131-6503]";"40523370";"40544207";"1";"protein_coding";"ENSDARG00000009208"
"ddi2";"6";"ddi2";"DNA-damage inducible protein 2 [Source:ZFIN;Acc:ZDB-GENE-031030-15]";"40554551";"40563509";"1";"protein_coding";"ENSDARG00000006477"
"si:ch73-15b2.5";"6";"CH73-15B2.5";"si:ch73-15b2.5 [Source:ZFIN;Acc:ZDB-GENE-030131-5406]";"40563848";"40572550";"1";"protein_coding";"ENSDARG00000079467"
"tomm6";"6";"CH73-15B2.6";"translocase of outer mitochondrial membrane 6 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-131121-445]";"40572545";"40573270";"-1";"protein_coding";"ENSDARG00000097797"
"uqcc2";"6";"CH73-15B2.7";"ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1726]";"40573365";"40577109";"1";"protein_coding";"ENSDARG00000011272"
"tspo";"6";"tspo";"translocator protein [Source:ZFIN;Acc:ZDB-GENE-041010-125]";"40578219";"40583253";"-1";"protein_coding";"ENSDARG00000026655"
"frs3";"6";"DKEY-177P8.1";"fibroblast growth factor receptor substrate 3 [Source:ZFIN;Acc:ZDB-GENE-131121-119]";"40587551";"40606273";"1";"protein_coding";"ENSDARG00000078688"
"slc6a11a";"6";"slc6a11a";"solute carrier family 6 member 11a [Source:ZFIN;Acc:ZDB-GENE-030131-3729]";"40629066";"40646203";"1";"protein_coding";"ENSDARG00000074002"
"ppil1";"6";"ppil1";"peptidylprolyl isomerase (cyclophilin)-like 1 [Source:ZFIN;Acc:ZDB-GENE-051009-1]";"40647788";"40657672";"-1";"protein_coding";"ENSDARG00000015422"
"eno1b";"6";"eno1b";"enolase 1b, (alpha) [Source:ZFIN;Acc:ZDB-GENE-040426-1651]";"40661703";"40669406";"1";"protein_coding";"ENSDARG00000013750"
"rereb";"6";"rereb";"arginine-glutamic acid dipeptide (RE) repeats b [Source:ZFIN;Acc:ZDB-GENE-070212-3]";"40671336";"40689042";"1";"protein_coding";"ENSDARG00000075670"
"si:ch211-157b11.14";"6";"CH211-157B11.14";"si:ch211-157b11.14 [Source:ZFIN;Acc:ZDB-GENE-131121-645]";"40689357";"40697585";"-1";"protein_coding";"ENSDARG00000076850"
"si:ch211-157b11.12";"6";"CH211-157B11.12";"si:ch211-157b11.12 [Source:ZFIN;Acc:ZDB-GENE-041111-80]";"40707162";"40713204";"-1";"protein_coding";"ENSDARG00000086336"
"ccdc36";"6";"CH211-157B11.13";"coiled-coil domain containing 36 [Source:ZFIN;Acc:ZDB-GENE-131121-199]";"40714811";"40717048";"1";"protein_coding";"ENSDARG00000097704"
"kbtbd12";"6";"kbtbd12";"kelch repeat and BTB (POZ) domain containing 12 [Source:ZFIN;Acc:ZDB-GENE-050904-1]";"40715637";"40722480";"-1";"protein_coding";"ENSDARG00000001882"
"slc26a6l";"6";"slc26a6l";"solute carrier family 26 member 6, like [Source:ZFIN;Acc:ZDB-GENE-080220-10]";"40723554";"40732692";"1";"protein_coding";"ENSDARG00000054127"
"p4htm";"6";"CH211-157B11.10";"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:ZFIN;Acc:ZDB-GENE-110131-7]";"40730869";"40744726";"-1";"protein_coding";"ENSDARG00000075209"
"arpc4";"6";"arpc4";"actin related protein 2/3 complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-010724-9]";"40743367";"40778294";"-1";"protein_coding";"ENSDARG00000054063"
"myhb";"6";"CH211-157B11.9";"myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]";"40745437";"40756138";"-1";"protein_coding";"ENSDARG00000001993"
"h1fx";"6";"h1fx";"H1 histone family, member X [Source:ZFIN;Acc:ZDB-GENE-030131-1228]";"40769517";"40771813";"-1";"protein_coding";"ENSDARG00000054058"
"si:ch211-157b11.8";"6";"CH211-157B11.8";"si:ch211-157b11.8 [Source:ZFIN;Acc:ZDB-GENE-131127-436]";"40775800";"40783641";"1";"protein_coding";"ENSDARG00000060413"
"gata2b";"6";"GATA2b";"GATA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-440]";"40794015";"40803800";"1";"protein_coding";"ENSDARG00000009094"
"eefsec";"6";"DKEY-265K7.3";"eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:ZFIN;Acc:ZDB-GENE-051120-72]";"40822587";"40832245";"-1";"protein_coding";"ENSDARG00000004696"
"ruvbl1";"6";"ruvbl1";"RuvB-like AAA ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-030109-2]";"40832635";"40841032";"1";"protein_coding";"ENSDARG00000002591"
"mustn1a";"6";"DKEY-265K7.5";"musculoskeletal, embryonic nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-111129-3]";"40841156";"40842768";"-1";"protein_coding";"ENSDARG00000054026"
"rft1";"6";"DKEY-265K7.6";"RFT1 homolog [Source:ZFIN;Acc:ZDB-GENE-110411-126]";"40843786";"40854458";"-1";"protein_coding";"ENSDARG00000060398"
"zgc:112163";"6";"DKEY-265K7.4";"zgc:112163 [Source:ZFIN;Acc:ZDB-GENE-050417-227]";"40874206";"40875253";"1";"protein_coding";"ENSDARG00000017657"
"sirt4";"6";"DKEY-265K7.1";"sirtuin 4 [Source:ZFIN;Acc:ZDB-GENE-041010-65]";"40877394";"40885496";"-1";"protein_coding";"ENSDARG00000010415"
"zgc:172271";"6";"DKEY-265K7.7";"zgc:172271 [Source:ZFIN;Acc:ZDB-GENE-080204-110]";"40884615";"40899618";"-1";"protein_coding";"ENSDARG00000013240"
"sfi1";"6";"CH211-13J1.4";"SFI1 centrin binding protein [Source:ZFIN;Acc:ZDB-GENE-080206-4]";"40898877";"40922971";"-1";"protein_coding";"ENSDARG00000053992"
"eif4enif1";"6";"CH211-13J1.1";"eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:ZFIN;Acc:ZDB-GENE-050320-113]";"40922572";"40947671";"1";"protein_coding";"ENSDARG00000016177"
"patz1";"6";"patz1";"POZ/BTB and AT hook containing zinc finger 1 [Source:ZFIN;Acc:ZDB-GENE-111223-4]";"40951227";"40968320";"1";"protein_coding";"ENSDARG00000076584"
"slc2a11a";"6";"CH211-13J1.2";"solute carrier family 2 member 11a [Source:ZFIN;Acc:ZDB-GENE-080723-20]";"40975655";"40992683";"-1";"protein_coding";"ENSDARG00000053961"
"tgfa";"6";"tgfa";"transforming growth factor, alpha [Source:ZFIN;Acc:ZDB-GENE-040724-208]";"40992409";"41009381";"1";"protein_coding";"ENSDARG00000053939"
"hdhd3";"6";"CH211-10E8.6";"haloacid dehalogenase-like hydrolase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040724-118]";"41014791";"41021880";"-1";"protein_coding";"ENSDARG00000053934"
"trub2";"6";"CH211-10E8.5";"TruB pseudouridine (psi) synthase family member 2 [Source:ZFIN;Acc:ZDB-GENE-040704-41]";"41023580";"41028698";"-1";"protein_coding";"ENSDARG00000028379"
"entpd8";"6";"entpd8";"ectonucleoside triphosphate diphosphohydrolase 8 [Source:ZFIN;Acc:ZDB-GENE-040724-142]";"41038757";"41060423";"1";"protein_coding";"ENSDARG00000005565"
"rab44";"6";"rab44";"RAB44, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040724-117]";"41057943";"41079209";"-1";"protein_coding";"ENSDARG00000028389"
"srsf3a";"6";"sfrs3a";"serine and arginine rich splicing factor 3a [Source:ZFIN;Acc:ZDB-GENE-030616-631]";"41080003";"41085692";"-1";"protein_coding";"ENSDARG00000025397"
"srsf3a";"6";"zC263A23.10";"serine and arginine rich splicing factor 3a [Source:ZFIN;Acc:ZDB-GENE-030616-631]";"41080207";"41091238";"-1";"protein_coding";"ENSDARG00000100815"
"fkbp5";"6";"fkbp5";"FKBP prolyl isomerase 5 [Source:ZFIN;Acc:ZDB-GENE-030616-630]";"41096058";"41117242";"1";"protein_coding";"ENSDARG00000028396"
"slc6a22.1";"6";"scl6a13";"solute carrier family 6 member 22, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-629]";"41118910";"41138855";"-1";"protein_coding";"ENSDARG00000000730"
"slc6a22.2";"6";"scl6a13l";"solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]";"41144155";"41161017";"1";"protein_coding";"ENSDARG00000001354"
"opn1mw1";"6";"opn1mw1";"opsin 1 (cone pigments), medium-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-42]";"41181869";"41183823";"1";"protein_coding";"ENSDARG00000097008"
"opn1mw2";"6";"opn1mw2";"opsin 1 (cone pigments), medium-wave-sensitive, 2 [Source:ZFIN;Acc:ZDB-GENE-030728-5]";"41186320";"41189460";"1";"protein_coding";"ENSDARG00000044280"
"opn1mw3";"6";"opn1mw3";"opsin 1 (cone pigments), medium-wave-sensitive, 3 [Source:ZFIN;Acc:ZDB-GENE-030728-6]";"41191482";"41193419";"1";"protein_coding";"ENSDARG00000044279"
"opn1mw4";"6";"opn1mw4";"opsin 1 (cone pigments), medium-wave-sensitive, 4 [Source:ZFIN;Acc:ZDB-GENE-990604-43]";"41200500";"41202554";"1";"protein_coding";"ENSDARG00000000638"
"synpr";"6";"synpr";"synaptoporin [Source:ZFIN;Acc:ZDB-GENE-030616-625]";"41223204";"41229787";"-1";"protein_coding";"ENSDARG00000044278"
"cadpsb";"6";"cadspb";"Ca2+-dependent activator protein for secretion b [Source:ZFIN;Acc:ZDB-GENE-110621-2]";"41255485";"41446053";"1";"protein_coding";"ENSDARG00000070567"
"cplane2";"6";"CH211-241N17.2";"ciliogenesis and planar polarity effector 2 [Source:ZFIN;Acc:ZDB-GENE-040912-80]";"41446541";"41451844";"1";"protein_coding";"ENSDARG00000028442"
"wdr82";"6";"wdr82";"WD repeat domain 82 [Source:ZFIN;Acc:ZDB-GENE-030131-333]";"41452979";"41461390";"1";"protein_coding";"ENSDARG00000014083"
"twf2a";"6";"ptk9l";"twinfilin actin-binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-030131-7638]";"41463785";"41501766";"1";"protein_coding";"ENSDARG00000094792"
"cish";"6";"cish";"cytokine inducible SH2-containing protein [Source:ZFIN;Acc:ZDB-GENE-050907-1]";"41503854";"41506749";"1";"protein_coding";"ENSDARG00000060316"
"hemk1";"6";"hemk1";"HemK methyltransferase family member 1 [Source:ZFIN;Acc:ZDB-GENE-050208-185]";"41510135";"41536323";"-1";"protein_coding";"ENSDARG00000078894"
"srgap3";"6";"srgap3";"SLIT-ROBO Rho GTPase activating protein 3 [Source:ZFIN;Acc:ZDB-GENE-060524-4]";"41554794";"41757181";"1";"protein_coding";"ENSDARG00000060309"
"rad18";"6";"rad18";"RAD18 E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040426-745]";"41808673";"41887398";"1";"protein_coding";"ENSDARG00000027938"
"oxtr";"6";"oxtr";"oxytocin receptor [Source:ZFIN;Acc:ZDB-GENE-110805-2]";"41956355";"41974205";"1";"protein_coding";"ENSDARG00000033956"
"cav3";"6";"cav3";"caveolin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-426]";"41996066";"42003780";"-1";"protein_coding";"ENSDARG00000024141"
"gpr61l";"6";"DKEYP-111E5.4";"G protein-coupled receptor 61-like [Source:ZFIN;Acc:ZDB-GENE-131127-443]";"42031836";"42036685";"-1";"protein_coding";"ENSDARG00000003900"
"parp3";"6";"parp3";"poly (ADP-ribose) polymerase family, member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-7435]";"42038358";"42049350";"-1";"protein_coding";"ENSDARG00000003961"
"grm2a";"6";"DKEYP-111E5.5";"glutamate receptor, metabotropic 2a [Source:ZFIN;Acc:ZDB-GENE-030131-8097]";"42051480";"42112191";"-1";"protein_coding";"ENSDARG00000004150"
"tex264a";"6";"DKEY-178O3.6";"testis expressed 264, ER-phagy receptor a [Source:ZFIN;Acc:ZDB-GENE-040426-1885]";"42145626";"42290259";"-1";"protein_coding";"ENSDARG00000092154"
"fancd2";"6";"fancd2";"FA complementation group D2 [Source:ZFIN;Acc:ZDB-GENE-040116-5]";"42291308";"42336995";"-1";"protein_coding";"ENSDARG00000053574"
"gpx1b";"6";"DKEY-178O3.5";"glutathione peroxidase 1b [Source:ZFIN;Acc:ZDB-GENE-040912-60]";"42338309";"42341219";"1";"protein_coding";"ENSDARG00000006207"
"usp4";"6";"usp4";"ubiquitin specific peptidase 4 (proto-oncogene) [Source:ZFIN;Acc:ZDB-GENE-041008-187]";"42345005";"42369186";"-1";"protein_coding";"ENSDARG00000014770"
"emc3";"6";"pob";"ER membrane protein complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2904]";"42369999";"42377307";"-1";"protein_coding";"ENSDARG00000020607"
"sec61a1l";"6";"sec61al2";"SEC61 translocon alpha 1 subunit, like [Source:ZFIN;Acc:ZDB-GENE-021016-2]";"42377911";"42388608";"-1";"protein_coding";"ENSDARG00000005675"
"ip6k2a";"6";"ihpk2";"inositol hexakisphosphate kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-760]";"42409082";"42418225";"-1";"protein_coding";"ENSDARG00000008310"
"mst1ra";"6";"mst1r";"macrophage stimulating 1 receptor a [Source:ZFIN;Acc:ZDB-GENE-071218-2]";"42475730";"42505007";"1";"protein_coding";"ENSDARG00000060235"
"camkva";"6";"CH211-241D24.6";"CaM kinase-like vesicle-associated a [Source:ZFIN;Acc:ZDB-GENE-100819-2]";"42545797";"42598328";"1";"protein_coding";"ENSDARG00000027963"
"rbm6";"6";"CH211-207D10.1";"RNA binding motif protein 6 [Source:ZFIN;Acc:ZDB-GENE-050309-79]";"42666694";"42690736";"1";"protein_coding";"ENSDARG00000077060"
"si:ch211-207d10.2";"6";"CH211-207D10.2";"si:ch211-207d10.2 [Source:ZFIN;Acc:ZDB-GENE-131127-573]";"42693114";"42743538";"1";"protein_coding";"ENSDARG00000097941"
"sema3fa";"6";"sema3fa";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fa [Source:ZFIN;Acc:ZDB-GENE-050513-1]";"42818963";"42916343";"1";"protein_coding";"ENSDARG00000011163"
"gnat1";"6";"gnat1";"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-011128-11]";"42918933";"42930302";"1";"protein_coding";"ENSDARG00000044199"
"edem1";"6";"edem1";"ER degradation enhancer, mannosidase alpha-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-808]";"42932757";"42949184";"-1";"protein_coding";"ENSDARG00000025094"
"arl8ba";"6";"arl8ba";"ADP-ribosylation factor-like 8Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9370]";"42951960";"42971184";"-1";"protein_coding";"ENSDARG00000006915"
"tnfrsf18";"6";"tnfrsf18";"tumor necrosis factor receptor superfamily, member 18 [Source:ZFIN;Acc:ZDB-GENE-101104-7]";"42975278";"42983843";"-1";"protein_coding";"ENSDARG00000076800"
"si:ch73-361p23.3";"6";"CH73-361P23.3";"si:ch73-361p23.3 [Source:ZFIN;Acc:ZDB-GENE-130530-906]";"43001964";"43007264";"-1";"protein_coding";"ENSDARG00000087225"
"tcta";"6";"tcta";"T cell leukemia translocation altered [Source:ZFIN;Acc:ZDB-GENE-040718-325]";"43015916";"43019222";"1";"protein_coding";"ENSDARG00000044194"
"glyctk";"6";"CH73-361P23.2";"glycerate kinase [Source:ZFIN;Acc:ZDB-GENE-061013-308]";"43019642";"43047774";"-1";"protein_coding";"ENSDARG00000060120"
"lrrn1";"6";"lrrn1";"leucine rich repeat neuronal 1 [Source:ZFIN;Acc:ZDB-GENE-071126-1]";"43076516";"43092175";"-1";"protein_coding";"ENSDARG00000060115"
"si:dkey-178o16.4";"6";"DKEY-178O16.4";"si:dkey-178o16.4 [Source:ZFIN;Acc:ZDB-GENE-131127-163]";"43218851";"43221581";"-1";"protein_coding";"ENSDARG00000076797"
"frmd4ba";"6";"DKEY-178O16.1";"FERM domain containing 4Ba [Source:ZFIN;Acc:ZDB-GENE-130412-1]";"43220191";"43387920";"-1";"protein_coding";"ENSDARG00000074599"
"trnt1";"6";"trnt1";"tRNA nucleotidyl transferase, CCA-adding, 1 [Source:ZFIN;Acc:ZDB-GENE-040625-176]";"43222524";"43233700";"-1";"protein_coding";"ENSDARG00000075297"
"arl6ip5a";"6";"arl6ip5a";"ADP-ribosylation factor-like 6 interacting protein 5a [Source:ZFIN;Acc:ZDB-GENE-031113-22]";"43234213";"43241631";"1";"protein_coding";"ENSDARG00000077044"
"BX927362.2";"6";"NULL";"uncharacterized LOC101882029 [Source:NCBI gene;Acc:101882029]";"43353271";"43361226";"1";"protein_coding";"ENSDARG00000112918"
"mitfa";"6";"mitfa";"melanocyte inducing transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11]";"43390387";"43433277";"1";"protein_coding";"ENSDARG00000003732"
"eevs";"6";"CH211-170N20.3";"2-epi-5-epi-valiolone synthase [Source:ZFIN;Acc:ZDB-GENE-131121-365]";"43438074";"43449013";"-1";"protein_coding";"ENSDARG00000087873"
"zgc:113054";"6";"CH211-170N20.2";"zgc:113054 [Source:ZFIN;Acc:ZDB-GENE-050320-9]";"43450221";"43474757";"1";"protein_coding";"ENSDARG00000053483"
"MDFIC2";"6";"DKEY-58F6.2";"MyoD family inhibitor domain containing 2 [Source:HGNC Symbol;Acc:HGNC:53442]";"43491635";"43498996";"-1";"protein_coding";"ENSDARG00000091832"
"foxp1b";"6";"foxp1b";"forkhead box P1b [Source:ZFIN;Acc:ZDB-GENE-041203-1]";"43602143";"43890462";"-1";"protein_coding";"ENSDARG00000014181"
"gpr27";"6";"gpr27";"G protein-coupled receptor 27 [Source:ZFIN;Acc:ZDB-GENE-071022-3]";"43903209";"43907321";"1";"protein_coding";"ENSDARG00000006607"
"prok2";"6";"prok2";"prokineticin 2 [Source:ZFIN;Acc:ZDB-GENE-100726-1]";"43918529";"43922813";"-1";"protein_coding";"ENSDARG00000091616"
"rybpb";"6";"rybpb";"RING1 and YY1 binding protein b [Source:ZFIN;Acc:ZDB-GENE-061103-96]";"44006709";"44044385";"-1";"protein_coding";"ENSDARG00000053459"
"shq1";"6";"shq1";"SHQ1, H/ACA ribonucleoprotein assembly factor [Source:ZFIN;Acc:ZDB-GENE-070112-1412]";"44089189";"44161262";"-1";"protein_coding";"ENSDARG00000058522"
"gxylt2";"6";"gxylt2";"glucoside xylosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070424-64]";"44163727";"44193740";"1";"protein_coding";"ENSDARG00000044191"
"ppp4r2b";"6";"ppp4r2b";"protein phosphatase 4, regulatory subunit 2b [Source:ZFIN;Acc:ZDB-GENE-030131-3008]";"44197099";"44209390";"1";"protein_coding";"ENSDARG00000053447"
"pdzrn3b";"6";"pdzrn3";"PDZ domain containing RING finger 3b [Source:ZFIN;Acc:ZDB-GENE-071022-4]";"44243070";"44402358";"-1";"protein_coding";"ENSDARG00000073869"
"cntn3b";"6";"NULL";"contactin 3b [Source:ZFIN;Acc:ZDB-GENE-130530-645]";"44584775";"44711942";"-1";"protein_coding";"ENSDARG00000053454"
"chl1b";"6";"CH73-250F23.1";"cell adhesion molecule L1-like b [Source:ZFIN;Acc:ZDB-GENE-091105-1]";"44812444";"44977428";"1";"protein_coding";"ENSDARG00000103109"
"BX942846.1";"6";"CH211-265O15.2";"NULL";"45114613";"45328910";"1";"protein_coding";"ENSDARG00000104277"
"LO017951.1";"6";"NULL";"NULL";"45346808";"45376758";"1";"protein_coding";"ENSDARG00000112767"
"cntn4";"6";"cntn4";"contactin 4 [Source:ZFIN;Acc:ZDB-GENE-060929-776]";"45494227";"45838103";"1";"protein_coding";"ENSDARG00000098161"
"rbm19";"6";"rbm19";"RNA binding motif protein 19 [Source:ZFIN;Acc:ZDB-GENE-031125-3]";"45843193";"45869164";"-1";"protein_coding";"ENSDARG00000042590"
"epha2a";"6";"rtk6";"eph receptor A2 a [Source:ZFIN;Acc:ZDB-GENE-990415-63]";"45874595";"45905746";"-1";"protein_coding";"ENSDARG00000017354"
"h6pd";"6";"DKEY-148L2.3";"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:ZFIN;Acc:ZDB-GENE-110408-60]";"45918981";"45929465";"1";"protein_coding";"ENSDARG00000060153"
"rbp7b";"6";"rbp7b";"retinol binding protein 7b, cellular [Source:ZFIN;Acc:ZDB-GENE-081022-134]";"45932241";"45933368";"1";"protein_coding";"ENSDARG00000070486"
"cenps";"6";"DKEY-148L2.5";"centromere protein S [Source:ZFIN;Acc:ZDB-GENE-080723-52]";"45934682";"45937000";"1";"protein_coding";"ENSDARG00000070485"
"tardbp";"6";"tardbp";"TAR DNA binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-3777]";"45937777";"45949121";"-1";"protein_coding";"ENSDARG00000040031"
"ca16b";"6";"ca16b";"carbonic anhydrase XVI b [Source:ZFIN;Acc:ZDB-GENE-080818-1]";"45951893";"46162585";"-1";"protein_coding";"ENSDARG00000060123"
"zgc:162324";"6";"CH211-139G10.1";"zgc:162324 [Source:ZFIN;Acc:ZDB-GENE-070410-73]";"46258820";"46309060";"1";"protein_coding";"ENSDARG00000026086"
"si:dkeyp-67f1.1";"6";"DKEYP-67F1.1";"si:dkeyp-67f1.1 [Source:ZFIN;Acc:ZDB-GENE-131127-559]";"46309795";"46320527";"1";"protein_coding";"ENSDARG00000096954"
"FAM3D";"6";"DKEYP-67F1.2";"family with sequence similarity 3 member D [Source:HGNC Symbol;Acc:HGNC:18665]";"46320693";"46337096";"1";"protein_coding";"ENSDARG00000091625"
"FAM107A (1 of many)";"6";"NULL";"family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]";"46341306";"46346978";"1";"protein_coding";"ENSDARG00000075540"
"camk1a";"6";"DKEY-172F5.1";"calcium/calmodulin-dependent protein kinase Ia [Source:ZFIN;Acc:ZDB-GENE-131120-147]";"46353910";"46403475";"-1";"protein_coding";"ENSDARG00000060116"
